words	class0	class1	class2	class3	class4	class5	class6	class7	class8	class9	class10	class11	class12	class13	class14	class15	class16	class17	class18	class19
Schwartzia	0.00003839	0.03354258	0.00010594	0.00002502	0.02302017	0.00000040	0.00001695	0.00000000	0.00000000	0.00000005	0.00000278	0.00016788	0.00005703	7622.40749677	0.00000000	0.00002504	0.00000719	0.00000000	0.00002255	0.00001339
Catonella	0.00113396	0.31612809	0.00056624	0.00042782	0.00853033	0.00000100	0.00000284	0.00000001	0.00145587	0.00001203	0.00036391	0.00007146	0.00125282	0.00000091	0.00011324	0.00075135	0.00010719	0.02916969	0.00638816	0.00039555
Paludibacter	0.00010071	0.02536235	0.00130591	0.00000757	110.86204972	0.00000000	0.00000000	0.00000000	0.00000000	0.00000203	0.00397318	0.00000000	0.00163450	411.53936155	0.00050808	0.00000000	0.00000500	0.00000000	0.00795454	0.00000000
Mannheimia	0.00031455	0.00000002	0.01210558	0.00028501	0.00000000	0.00000001	0.00000000	0.00000000	383.42458605	0.00004986	0.00000000	0.00000001	0.00001101	0.00000000	0.00001092	6.00427394	0.00000220	0.00000000	0.00000585	0.00399724
Mycoplasma	0.00000117	0.00251465	0.00077800	0.00002946	0.08998307	18.47097362	0.00001212	0.00000000	0.00000000	0.00000118	0.00000000	0.00003780	0.00009171	0.00000085	0.00079096	0.00003066	0.00005984	0.00000000	0.00032635	0.00000470
Atopobium	0.00000798	0.03353515	0.00009492	0.00000000	0.00567077	0.00000026	0.13617809	0.00000002	0.00101326	0.00000696	0.00000923	4.56541203	0.00000000	0.00000000	0.00000702	0.00002621	0.00000248	0.05668638	0.00002704	0.00022245
Corynebacterium	0.00006436	0.00000000	0.00001397	0.00015323	0.00000000	0.00000000	0.00000000	0.00000000	0.00055488	1.55346778	0.00003888	0.00000085	0.00015006	0.00000000	0.00000000	0.00000011	0.00001737	0.42628113	0.00000000	0.00047178
TM7_genera_incertae_sedis	0.00001095	0.01514353	0.00006036	0.00000000	0.00000911	0.00000001	0.02225903	0.00000001	0.00059820	0.00000046	0.00000000	0.18274218	0.00000000	0.00000000	0.00067840	0.00000326	0.00002905	0.00000000	0.00008702	0.00069340
Anaeroglobus	0.00001987	0.00000018	0.00000000	0.00000358	0.01802551	0.00000047	0.00000000	0.00000001	0.00000000	0.00000002	0.00000000	0.80958605	0.13665970	0.00000000	0.00026867	0.00000011	0.00000000	0.00000000	0.00342309	0.00000000
Sneathia	0.00000000	0.00000000	0.00303441	0.00001515	0.01627644	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000452	0.00000000	0.00000000	0.00000000	0.00000000	0.00002188	0.00000000	0.00000000	54662.27630998	0.00000000
Escherichia/Shigella	0.00608493	0.18136583	0.00064217	0.00106050	0.00205147	0.00002522	0.00011467	0.00000000	0.07615573	0.00023811	0.00017133	0.00000243	0.00771719	0.00461396	0.00011865	0.00227881	0.00003534	6.93767986	0.00030752	0.00062430
Centipeda	0.00000673	0.02501419	0.00000000	0.00008658	0.00114326	7.96597087	0.91709078	0.00000000	0.00121180	0.00000415	0.00029014	0.00004136	0.00123465	0.00000033	0.00090791	0.00035710	0.00032352	0.00000002	0.00032978	0.00065785
Paraprevotella	0.00047980	0.03225548	0.00098552	0.00028357	0.00175994	5.16309106	0.79837903	0.00000002	0.00332163	0.00001974	0.00007031	0.00000156	0.00039693	0.00010294	0.00201757	0.00012839	0.00008025	0.00000001	0.00012610	0.00204487
Oribacterium	0.00009346	0.05282105	0.00034471	0.00000000	0.00967564	0.00000023	0.00001131	0.00000000	0.00044315	0.00000090	931.71018762	0.00004910	0.00102238	0.00000028	0.00224824	0.00000274	0.00002312	0.00000000	0.00003310	0.00066149
Phocaeicola	0.00000000	0.00146669	0.00000000	0.00000029	0.00000000	0.00000000	0.00000000	0.00000003	0.00000000	0.00000000	0.00000000	65.65269559	0.00000000	4430.62415325	0.00000000	0.00000001	0.00000000	0.00000000	0.00000172	0.00000000
Megasphaera	0.00000000	0.02901249	0.00012137	0.00018878	0.00006569	0.00000019	1.42833279	0.00000000	0.00246756	16.20007248	0.00004133	0.00000045	0.00000000	0.00000004	0.00000696	0.00000968	0.00004554	0.00000000	0.00000000	0.00182512
