words	class0	class1	class2	class3	class4	class5	class6	class7	class8	class9	class10	class11	class12	class13	class14	class15	class16	class17	class18	class19
Lactobacillus	0.00000000	0.00000004	0.00000000	0.00000022	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000017	0.00000000	0.00000000	0.00000000	0.00000000
Peptoniphilus	0.00000982	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000166	0.00000000	0.00000000	0.00011310	0.00000965	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Alloscardovia	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000009	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00004265	0.00000010	0.00000000	0.00000000	0.00000000	0.00000000
Anaerococcus	0.00000000	0.00000000	0.00000079	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000001	0.00000205	0.00000000	0.00000000	0.00000732
Novosphingobium	0.00000000	0.00000000	0.00000090	0.00000000	0.00000000	0.00000004	0.00000000	0.00000000	0.00032170	0.07088293	0.00000000	0.00000000	0.00001293	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Methanobrevibacter	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000181	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000035	0.00000000
Stenotrophomonas	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00575223	0.00000000	0.00000000	0.06060533	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000366	0.00000000	0.00000000	0.00002917
Finegoldia	0.00005470	0.00000000	0.00000000	0.00000022	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000002	0.00000000	0.00000000	0.00000000	0.00002293
Chryseobacterium	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Mitsuokella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000012	0.00000000	0.00000000	0.00000000	0.00000000
