samples	class0	class1	class2	class3	class4	class5	class6	class7	class8	class9	class10	class11	class12	class13	class14	class15	class16	class17	class18	class19
NT2	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	2.82229340	0.00000000
1	0.16276252	0.00000000	0.00000000	0.00000000	0.00000000	0.00000543	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
10	2.42561649	0.00000000	0.00000000	0.00000000	0.00000000	0.00000263	0.00000000	0.00000000	0.00000000	0.00000144	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000002	0.00000000	0.00000000	0.00000000
12	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	2.53493120	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
19	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	217882.96659762	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00629900	0.00000000
2	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	35.34590031	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
20	0.00000000	0.00051615	0.00000000	0.00000000	0.00000000	0.00001151	0.00000000	0.00000000	0.00000000	0.00000000	27.13823763	0.00000000	0.00000099	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
23	0.00000000	0.00872165	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.35327152	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
3	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.33114743	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
30	0.00000000	0.00000000	0.98352203	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
32	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	17.75802843	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
33	0.00000000	0.00690463	0.00000000	0.00000000	0.00000000	0.00000570	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
38	0.00000008	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	2.37604966	0.00000000	0.00000000	0.00000000	0.00000000
4	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.63641062	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
5	0.00000001	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.06440144	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
55	0.00000002	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	5.65453372	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
61	0.00000000	0.00000000	0.00000000	0.00000000	0.00000783	0.00000000	0.00000000	0.00000000	0.26365616	0.00000508	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000006	0.00000000	0.00000000
