STEP	ISD
183	45488.03817362
184	45487.52524360
185	45487.02707306
186	45486.54215405
187	45486.06963805
188	45485.60886763
189	45485.15928100
190	45484.72037872
191	45484.29157346
192	45483.87273053
193	45483.46333525
194	45483.06304644
195	45482.67155463
196	45482.28836379
197	45481.91366258
198	45481.54673811
199	45481.18782178
200	45480.83671219
201	45480.49308985
202	45480.15685025
203	45479.82789002
204	45479.50609151
205	45479.19127588
206	45478.88328415
207	45478.58193383
208	45478.28688693
209	45477.99814839
210	45477.71529445
211	45477.43779996
212	45477.16558457
213	45476.89793647
214	45476.63416178
215	45476.37332719
216	45476.11412686
217	45475.85466475
218	45475.59209880
219	45475.32206534
220	45475.03777887
221	45474.72874079
222	45474.37927072
223	45473.96802175
224	45473.47169158
225	45472.87863700
226	45472.21348089
227	45471.54851990
228	45470.96727181
229	45470.49903262
230	45470.11493280
231	45469.77281906
232	45469.44175475
233	45469.10016560
234	45468.72717921
235	45468.29269364
236	45467.74526124
237	45466.98973112
238	45465.85063980
239	45464.02418824
240	45461.03826078
241	45456.20155610
242	45448.54236529
243	45436.91978219
244	45422.02948841
245	45412.78643261
246	45407.90874350
247	45405.12124063
248	45403.22281022
249	45400.20966635
250	45400.04595032
251	45399.88879312
252	45399.73736915
253	45399.59109903
254	45399.44949650
255	45399.31218752
256	45399.17883518
257	45399.04902114
258	45398.92271460
259	45398.79963119
260	45398.67965598
261	45398.56250811
262	45398.44811551
263	45398.33629095
264	45398.22689676
265	45398.11979976
266	45398.01486842
267	45397.91184214
268	45397.81083916
269	45397.71158564
270	45397.61387000
271	45397.51761836
272	45397.42256860
273	45397.32829037
274	45397.23484057
275	45397.14164098
276	45397.04817425
277	45396.95373850
278	45396.85735143
279	45396.75759407
280	45396.65234881
281	45396.53834788
282	45396.41037363
283	45396.25981155
284	45396.07200844
285	45395.82154421
286	45395.46447223
287	45394.92868084
288	45394.11336101
289	45392.93256697
290	45391.45586841
291	45390.02483274
292	45388.91112379
293	45388.05132188
294	45387.29605502
295	45386.51807755
296	45385.58869410
297	45384.33967137
298	45382.53172453
299	45379.83076082
300	45375.77616302
301	45369.96838064
302	45365.76652215
303	45364.00173301
304	45363.36375920
305	45363.12732211
306	45363.01057702
307	45362.92805098
308	45362.85694642
309	45362.79127248
310	45362.72919237
311	45362.66986788
312	45362.61269261
313	45362.55708740
314	45362.50239571
315	45362.44788644
316	45362.39252611
317	45362.33487768
318	45362.27275919
319	45362.20264098
320	45362.11845583
321	45362.00912659
322	45361.85318664
323	45361.60675778
324	45361.17755398
325	45360.37902118
326	45358.89238788
327	45356.27702963
328	45351.89143036
329	45344.83293599
330	45334.01761011
331	45323.24620548
332	45318.43302154
333	45316.24073925
334	45315.01662150
335	45314.19737834
336	45313.57490511
337	45311.85933906
338	45311.83035434
339	45311.80368309
340	45311.77890080
341	45311.75569207
342	45311.73380156
343	45311.71302781
344	45311.69321320
345	45311.67423418
346	45311.65599333
347	45311.63841324
348	45311.62143185
349	45311.60489324
350	45311.58896928
351	45311.57351873
352	45311.55851318
353	45311.54392853
354	45311.52974413
355	45311.51594202
356	45311.50250641
357	45311.48942322
358	45311.47667977
359	45311.46426452
360	45311.45204229
361	45311.44025334
362	45311.42876291
363	45311.41756233
364	45311.40664338
365	45311.39599828
366	45311.38561955
367	45311.37550005
368	45311.36563290
369	45311.35601148
370	45311.34662940
371	45311.33748045
372	45311.32855863
373	45311.31985814
374	45311.31137330
375	45311.30308997
376	45311.29502015
377	45311.28714997
378	45311.27947436
379	45311.27187044
380	45311.26457040
381	45311.25745052
382	45311.25050625
383	45311.24373314
384	45311.23712686
385	45311.23068319
386	45311.22439801
387	45311.21826730
388	45311.21228716
389	45311.20643818
390	45311.20074809
391	45311.19519738
392	45311.18978251
393	45311.18450004
394	45311.17934659
395	45311.17431888
396	45311.16941371
397	45311.16462795
398	45311.15995856
399	45311.15540258
400	45311.15095709
401	45311.14661928
402	45311.14238640
403	45311.13825577
404	45311.13420172
405	45311.13026808
406	45311.12642903
407	45311.12268212
408	45311.11902501
409	45311.11542767
410	45311.11194350
411	45311.10854237
412	45311.10522215
413	45311.10198077
414	45311.09881619
415	45311.09572645
416	45311.09270961
417	45311.08976381
418	45311.08688720
419	45311.08407802
420	45311.08133452
421	45311.07865502
422	45311.07603786
423	45311.07348144
424	45311.07098419
425	45311.06854460
426	45311.06616118
427	45311.06383248
428	45311.06155709
429	45311.05933365
430	45311.05716081
431	45311.05503728
432	45311.05296178
433	45311.05093308
434	45311.04894999
435	45311.04701132
436	45311.04511594
437	45311.04326274
438	45311.04145063
439	45311.03967857
440	45311.03794553
441	45311.03625050
442	45311.03459252
443	45311.03297065
444	45311.03138395
445	45311.02983154
446	45311.02831253
447	45311.02682608
448	45311.02537136
449	45311.02387503
450	45311.02248167
451	45311.02111769
452	45311.01978234
453	45311.01847489
454	45311.01719465
455	45311.01584753
456	45311.01461898
457	45311.01341583
458	45311.01223731
459	45311.01108277
460	45311.00995160
461	45311.00884322
462	45311.00775705
463	45311.00669254
464	45311.00564915
465	45311.00462637
466	45311.00362367
467	45311.00264057
468	45311.00167657
469	45311.00073122
470	45310.99980404
471	45310.99888785
472	45310.99799589
473	45310.99712080
474	45310.99626218
475	45310.99541962
476	45310.99449934
477	45310.99368717
478	45310.99279392
479	45310.99201096
480	45310.99124245
481	45310.99048789
482	45310.98974693
483	45310.98901923
484	45310.98830447
485	45310.98760235
486	45310.98683947
487	45310.98616200
488	45310.98549626
489	45310.98484200
490	45310.98419897
491	45310.98356689
492	45310.98294553
493	45310.98233463
494	45310.98173396
495	45310.98114327
496	45310.98056235
497	45310.97999096
498	45310.97942890
499	45310.97887595
500	45310.97833191
501	45310.97779658
502	45310.97728040
503	45310.97676182
504	45310.97625138
505	45310.97574891
506	45310.97525422
507	45310.97476715
508	45310.97428754
509	45310.97381521
510	45310.97335002
511	45310.97289180
512	45310.97244042
513	45310.97199572
514	45310.97155756
515	45310.97112581
516	45310.97065220
517	45310.97023308
518	45310.96981996
519	45310.96941273
520	45310.96901126
521	45310.96849067
522	45310.96810005
523	45310.96764940
524	45310.96727010
525	45310.96689602
526	45310.96642684
527	45310.96606238
528	45310.96570301
529	45310.96534851
530	45310.96499874
531	45310.96465361
532	45310.96431302
533	45310.96397688
534	45310.96364510
535	45310.96326890
536	45310.96294586
537	45310.96262694
538	45310.96222309
539	45310.96191265
540	45310.96160609
541	45310.96130334
542	45310.96100434
543	45310.96070901
544	45310.96041729
545	45310.96012911
546	45310.95984441
547	45310.95956312
548	45310.95928518
549	45310.95901053
550	45310.95873912
551	45310.95845962
552	45310.95819453
